domain_normalized,domain,pricing_url,pricing_url_method,dynamic_components,popup_overlay,notes
naplesnews com,naplesnews.com,https://subscribe.naplesnews.com/offers,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
nationalgeographic com,nationalgeographic.com,https://www.nationalgeographic.com/subscribe/magazines?cmpid=int_org=ngp::int_mc=website::int_src=ngp::int_cmp=subs_ngm::int_add=navsubscribe_us,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
nbc 2 com,nbc-2.com,https://www.gulfcoastnewsnow.com/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
newatlas com,newatlas.com,https://newatlas.com/subscribe,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
news press com,news-press.com,https://subscribe.news-press.com/offers,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
newsnow co uk,newsnow.co.uk,https://www.newsnow.co.uk/subscribe?utm_source=newsnow&utm_campaign=domains&utm_medium=web&utm_content=newsnow.co.uk,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
newsnow com,newsnow.com,https://www.newsnow.com/subscribe?utm_source=newsnow&utm_campaign=domains&utm_medium=web&utm_content=newsnow.com,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
newyorker com,newyorker.com,https://www.newyorker.com/v2/offers/tnya01034?source=Site_0_HCL_NYR_MAGSUBHOME_0_CAMPAIGN_ROTATION_2024_ZZ&cds_page_id=279670&cds_mag_code=NYR,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
nfl com,nfl.com,https://id.nfl.com/select-subscription?p=gc-al-dt-al&campaign=nfl-np-iw-po-2065677,homepage_link,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
nj com,nj.com,https://www.nj.com:443/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
nola com,nola.com,https://www.nola.com/subscribe,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
northjersey com,northjersey.com,https://subscribe.northjersey.com/offers,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
nwitimes com,nwitimes.com,https://subscribe.nwitimes.com/subscribe/?Domain=nwitimes.com&SubscriberLevel=DOP,common_path,yes,no,no prices found in static HTML | likely JS-rendered content
nydailynews com,nydailynews.com,https://subscription.nydailynews.com/TemplateA?coupon=Promo%20Code,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
nypost com,nypost.com,https://nypost.com/account/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
nzherald co nz,nzherald.co.nz,https://www.nzherald.co.nz/my-account/subscription/offers,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
odt co nz,odt.co.nz,https://www.odt.co.nz/subscribe-now,common_path,no,yes,possible modal or overlay UI
omaha com,omaha.com,https://subscribe.omaha.com/subscribe/?Domain=omaha.com&SubscriberLevel=DOP,common_path,yes,no,no prices found in static HTML | likely JS-rendered content
on3 com,on3.com,https://www.on3.com/join,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
oprahdaily com,oprahdaily.com,https://membership.oprahdaily.com/oprah-daily-insider-membership-all-access-3499.html?cds_tracking_code=in_book_member_spotlight,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
oregonlive com,oregonlive.com,https://www.oregonlive.com:443/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
oreilly com,oreilly.com,https://www.oreilly.com/online-learning/pricing.html,common_path,no,yes,possible modal or overlay UI
orlandosentinel com,orlandosentinel.com,https://mktops.orlandosentinel.com/subscriptions/land-premium/?market=os&source=manage&g2i_source=MC&g2i_medium=manage_member_center&g2i_campaign=seo,common_path,no,yes,possible modal or overlay UI
outsideonline com,outsideonline.com,https://www.outsideonline.com/outsideplus-usss/?scope=anon,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
oxfordmail co uk,oxfordmail.co.uk,https://www.oxfordmail.co.uk/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
palmbeachpost com,palmbeachpost.com,https://subscribe.palmbeachpost.com/offers,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
pennlive com,pennlive.com,https://www.pennlive.com:443/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
people com,people.com,https://www.magazines.com/people-magazine.html?utm_source=people.com&utm_medium=owned&utm_campaign=ppl_dig_newsroom_subscriptions,common_path,no,yes,possible modal or overlay UI | physical magazine/newspaper subscription
perthnow com au,perthnow.com.au,https://subscriber.thewest.com.au/#packages,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
pjmedia com,pjmedia.com,https://pjmedia.com/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
premiumtimesng com,premiumtimesng.com,https://members.premiumtimesng.com/subscriptions,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
pressreader com,pressreader.com,https://www.pressreader.com/subscribe,common_path,no,no,
prevention com,prevention.com,https://membership.prevention.com,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
rappler com,rappler.com,https://www.rappler.com/plus,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
realsimple com,realsimple.com,https://www.magazines.com/real-simple-magazine.html?utm_source=engage&utm_medium=internal&utm_campaign=rsp_care_crumb,common_path,no,yes,possible modal or overlay UI | physical magazine/newspaper subscription
richmond com,richmond.com,https://subscribe.richmond.com/subscribe/?Domain=richmond.com&SubscriberLevel=DOP,common_path,yes,no,no prices found in static HTML | likely JS-rendered content
roadandtrack com,roadandtrack.com,https://shop.roadandtrack.com/road-track-all-access-membership-2.html?cds_tracking_code=rttopnav&_gl=1*1l9y651*_gcl_au*MTEzNTAxMjg2MS4xNzcwMjYzNTYw*_ga*MTM2OTgyNTAyMS4xNzcwMjYzNTUx*_ga_P188K0T812*czE3NzAyNjM1NTEkbzEkZzEkdDE3NzAyNjM2NzAkajYwJGwwJGgw*_fplc*ZU5wemxsaGc3THVqbFpDeHdlbVNSZmp2cjZsTlJNRzJkVWRDcE1LaiUyQjhLQ3c3RDlkVHlTWkFBeEZRZTdxY01rWnRyRFFCT1huWk9QWlBPb2ZjckxlYkQ0a0I0SGxwQXVCNkUlMkJBQTdxSVVoeER4USUyQmtobjgzNjNqOUowZlJRJTNEJTNE,common_path,no,no,
rollingstone com,rollingstone.com,https://www.rollingstone.com/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
ru tradingview com,ru.tradingview.com,https://ru.tradingview.com/pricing,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
sandiegouniontribune com,sandiegouniontribune.com,https://checkout.sandiegouniontribune.com,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
schwarzwaelder bote de,schwarzwaelder-bote.de,https://www.schwarzwaelder-bote.de/staticcontent/schwarzwaelder_bote/aboverkauf/sb-produkte-uebersicht.html,common_path,no,no,
scientificamerican com,scientificamerican.com,https://www.scientificamerican.com/getsciam/?utm_source=site&utm_medium=display&utm_term=homepage_button,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
seekingalpha com,seekingalpha.com,https://seekingalpha.com/subscriptions,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
smh com au,smh.com.au,https://subscribe.smh.com.au/?promote_channel=PR_SMHP_YDTKC&utm_source=SMHNewspaper&utm_medium=Print&utm_campaign=YDTKConversion,common_path,no,no,
snopes com,snopes.com,https://www.snopes.com/support,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
southernliving com,southernliving.com,https://www.magazines.com/southern-living-magazine.html?utm_source=southernliving.com,common_path,no,yes,possible modal or overlay UI | physical magazine/newspaper subscription
sportsline com,sportsline.com,https://www.sportsline.com/join,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
stltoday com,stltoday.com,https://subscriber.stltoday.com/cgi-bin/accept,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
sueddeutsche de,sueddeutsche.de,https://www.sueddeutsche.de,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
sun sentinel com,sun-sentinel.com,https://mktops.sun-sentinel.com/subscriptions/land-premium/?market=ss&source=manage&g2i_source=MC&g2i_medium=manage_member_center&g2i_campaign=seo,common_path,no,yes,possible modal or overlay UI
sundayworld co za,sundayworld.co.za,https://sundayworld.co.za/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
syracuse com,syracuse.com,https://www.syracuse.com:443/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
t3 com,t3.com,https://www.t3.com/tech/cameras,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
tampabay com,tampabay.com,https://subscribe.tampabay.com,common_path,no,no,
tbsnews net,tbsnews.net,https://epaper.tbsnews.net/grab-your-subscription,common_path,yes,no,no prices found in static HTML | likely JS-rendered content
techadvisor com,techadvisor.com,https://www.techadvisor.com/magazine,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI | physical magazine/newspaper subscription
th tradingview com,th.tradingview.com,https://th.tradingview.com/pricing,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
theage com au,theage.com.au,https://subscribe.theage.com.au/?promote_channel=PR_AGEP_YDTKC&utm_source=TheAgeNewspaper&utm_medium=Print&utm_campaign=YDTKConversion,common_path,no,no,
theathletic com,theathletic.com,https://www.nytimes.com/subscription/athletic,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
theblaze com,theblaze.com,https://subscribe.blazemedia.com,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
thedailybeast com,thedailybeast.com,https://www.thedailybeast.com:443/membership,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
theepochtimes com,theepochtimes.com,https://subscribe.theepochtimes.com/p/?page=digitalsub,homepage_link,no,no,
theglobeandmail com,theglobeandmail.com,https://subscriptions.theglobeandmail.com/globe-products,common_path,yes,no,likely JS-rendered content
thehindu com,thehindu.com,https://www.thehindu.com/subscription,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
thehindubusinessline com,thehindubusinessline.com,https://www.thehindubusinessline.com/subscription,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
thenationalnews com,thenationalnews.com,https://www.thenationalnews.com:443/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
thestar com,thestar.com,https://www.thestar.com/subscribe,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
thestar com my,thestar.com.my,https://www.thestar.com.my/subscribe,common_path,no,yes,possible modal or overlay UI
thetimes co uk,thetimes.co.uk,https://www.thetimes.com/subscribe,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
time com,time.com,https://get.time.com/pubs/MX/TIM/TIM_OrderPage_Alt_Payment_ApplePay_Test.jsp?cds_page_id=282545&cds_mag_code=TIM&id=1770244252404&lsid=60351630523053245&vid=1&utm_medium=t-site&utm_content=bau+feb+na+20260202+na+na+na&cds_response_key=IF3VSIT01&utm_source=default-subscribe-link&utm_campaign=consumermarketing+site-reg-paid+all,common_path,no,yes,possible modal or overlay UI
timesofmalta com,timesofmalta.com,https://timesofmalta.com/subscribe,common_path,yes,no,likely JS-rendered content
tomshardware com,tomshardware.com,https://www.tomshardware.com/subscription,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
tr tradingview com,tr.tradingview.com,https://tr.tradingview.com/pricing,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
tradingview com,tradingview.com,https://www.tradingview.com/pricing,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
travelandleisure com,travelandleisure.com,https://www.magazines.com,common_path,no,yes,possible modal or overlay UI | physical magazine/newspaper subscription
tribuneindia com,tribuneindia.com,https://www.tribuneindia.com:443/subscription,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
trinidadexpress com,trinidadexpress.com,https://trinidadexpress.com/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
tsn ca,tsn.ca,https://www.tsn.ca:443/subscribe,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
tulsaworld com,tulsaworld.com,https://subscribe.tulsaworld.com/subscribe/?Domain=tulsaworld.com&SubscriberLevel=DOP,common_path,yes,no,no prices found in static HTML | likely JS-rendered content
us cnn com,us.cnn.com,https://us.cnn.com/subscription,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
usmagazine com,usmagazine.com,https://order.usmagazine.com/I3YACELS,common_path,yes,no,no prices found in static HTML | likely JS-rendered content
vice com,vice.com,https://www.vice.com/en/membership,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
vn tradingview com,vn.tradingview.com,https://vn.tradingview.com/pricing,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
vogue com,vogue.com,https://www.vogue.com/v2/offers/voga01070?source=SITE_0_VOG_HCL_MAGSUBHOME_SUBSCRIBE_LINK_FAILSAFE_0_CAMPAIGN_ROTATION_2024,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
walesonline co uk,walesonline.co.uk,https://www.walesonline.co.uk/subscribe,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
weather com,weather.com,https://weather.com/subscribe,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
wired com,wired.com,https://www.wired.com/v2/offers/wira01032?source=site_0_WIR_MAGSUBHOME_SUBSCRIBE_LINK_ZZ,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
womanandhome com,womanandhome.com,https://www.womanandhome.com/travel,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
womansday com,womansday.com,https://shop.womansday.com/woman-s-day-magazine.html?source=wdy_edit_subscribe_vanityurl&utm_source=vanity&utm_medium=offline&utm_campaign=edletter_organic_social,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI | physical magazine/newspaper subscription